parameter_id,dataset_id,section,name,value,unit,evidence_type,source_id,source_blob_sha1,uncertainty,validity_domain,note
AE_LFP.Electrolyte.Diffusivity [m2.s-1],AE_LFP,Electrolyte,Diffusivity [m2.s-1],8.794e-11 * (x / 1000) ** 2 - 3.972e-10 * (x / 1000) + 4.862e-10,m2.s-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Electrolyte.Conductivity activation energy [J.mol-1],AE_LFP,Electrolyte,Conductivity activation energy [J.mol-1],17100,J.mol-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Electrolyte.Diffusivity activation energy [J.mol-1],AE_LFP,Electrolyte,Diffusivity activation energy [J.mol-1],17100,J.mol-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Negative electrode.Particle radius [m],AE_LFP,Negative electrode,Particle radius [m],4.8e-06,m,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Thickness [m],AE_LFP,Negative electrode,Thickness [m],4.44e-05,m,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Diffusivity [m2.s-1],AE_LFP,Negative electrode,Diffusivity [m2.s-1],9.6e-15,m2.s-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.OCP [V],AE_LFP,Negative electrode,OCP [V],5.29210878e+01 * exp(-1.72699386e+02 * x) - 1.17963399e+03 + 1.20956356e+03 * tanh(6.72033948e+01 * (x + 2.44746396e-02)) + 4.52430314e-02 * tanh(-1.47542326e+01 * (x - 1.62746053e-01)) + 2.01855800e+01 * tanh(-2.46666302e+01 * (x - 1.12986136e+00)) + 2.01708039e-02 * tanh(-1.19900231e+01 * (x - 5.49773440e-01)) + 4.99616805e+01 * tanh(-6.11370883e+01 * (x + 4.69382558e-03)),V,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,"{""stoichiometry_min"": 0.0016261, ""stoichiometry_max"": 0.82258, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Entropic change coefficient [V.K-1],AE_LFP,Negative electrode,Entropic change coefficient [V.K-1],(-0.1112 * x + 0.02914 + 0.3561 * exp(-((x - 0.08309) ** 2) / 0.004616)) / 1000,V.K-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,"{""stoichiometry_min"": 0.0016261, ""stoichiometry_max"": 0.82258, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Entropy data borrowed from cited studies; chemistry/sample match must be checked.
AE_LFP.Negative electrode.Conductivity [S.m-1],AE_LFP,Negative electrode,Conductivity [S.m-1],7.46,S.m-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Surface area per unit volume [m-1],AE_LFP,Negative electrode,Surface area per unit volume [m-1],473004,m-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Porosity,AE_LFP,Negative electrode,Porosity,0.20666,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Transport efficiency,AE_LFP,Negative electrode,Transport efficiency,0.09395,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Reaction rate constant [mol.m-2.s-1],AE_LFP,Negative electrode,Reaction rate constant [mol.m-2.s-1],6.872e-06,mol.m-2.s-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy. BPX molar-rate convention: do not substitute into a dimensional exchange-current law without conversion.
AE_LFP.Negative electrode.Minimum stoichiometry,AE_LFP,Negative electrode,Minimum stoichiometry,0.0016261,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Maximum stoichiometry,AE_LFP,Negative electrode,Maximum stoichiometry,0.82258,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Maximum concentration [mol.m-3],AE_LFP,Negative electrode,Maximum concentration [mol.m-3],31400,mol.m-3,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Diffusivity activation energy [J.mol-1],AE_LFP,Negative electrode,Diffusivity activation energy [J.mol-1],30000,J.mol-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Negative electrode.Reaction rate constant activation energy [J.mol-1],AE_LFP,Negative electrode,Reaction rate constant activation energy [J.mol-1],55000,J.mol-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Particle radius [m],AE_LFP,Positive electrode,Particle radius [m],5e-07,m,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Thickness [m],AE_LFP,Positive electrode,Thickness [m],6.43e-05,m,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Diffusivity [m2.s-1],AE_LFP,Positive electrode,Diffusivity [m2.s-1],6.873e-17,m2.s-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.OCP [V],AE_LFP,Positive electrode,OCP [V],3.41285712e+00 - 1.49721852e-02 * x + 3.54866018e+14 * exp(-3.95729493e+02 * x) - 1.45998465e+00 * exp(-1.10108622e+02 * (1 - x)),V,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,"{""stoichiometry_min"": 0.0875, ""stoichiometry_max"": 0.95038, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Entropic change coefficient [V.K-1],AE_LFP,Positive electrode,Entropic change coefficient [V.K-1],"{""x"": [0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0], ""y"": [0.0001, 4.7145e-05, 3.7666e-05, 2.0299e-05, 5.9833e-06, -4.6859e-06, -1.3966e-05, -2.3528e-05, -3.3593e-05, -4.3433e-05, -5.2311e-05, -6.0211e-05, -6.8006e-05, -7.6939e-05, -8.7641e-05, -9.913e-05, -0.00010855, -0.00011266, -0.00011238, -0.00010921, -0.00022539]}",V.K-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,"{""stoichiometry_min"": 0.0875, ""stoichiometry_max"": 0.95038, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Entropy data borrowed from cited studies; chemistry/sample match must be checked.
AE_LFP.Positive electrode.Conductivity [S.m-1],AE_LFP,Positive electrode,Conductivity [S.m-1],0.8,S.m-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Surface area per unit volume [m-1],AE_LFP,Positive electrode,Surface area per unit volume [m-1],4418460,m-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Porosity,AE_LFP,Positive electrode,Porosity,0.20359,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Transport efficiency,AE_LFP,Positive electrode,Transport efficiency,0.09186,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Reaction rate constant [mol.m-2.s-1],AE_LFP,Positive electrode,Reaction rate constant [mol.m-2.s-1],9.736e-07,mol.m-2.s-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy. BPX molar-rate convention: do not substitute into a dimensional exchange-current law without conversion.
AE_LFP.Positive electrode.Minimum stoichiometry,AE_LFP,Positive electrode,Minimum stoichiometry,0.0875,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Maximum stoichiometry,AE_LFP,Positive electrode,Maximum stoichiometry,0.95038,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Maximum concentration [mol.m-3],AE_LFP,Positive electrode,Maximum concentration [mol.m-3],21200,mol.m-3,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Diffusivity activation energy [J.mol-1],AE_LFP,Positive electrode,Diffusivity activation energy [J.mol-1],80000,J.mol-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Positive electrode.Reaction rate constant activation energy [J.mol-1],AE_LFP,Positive electrode,Reaction rate constant activation energy [J.mol-1],35000,J.mol-1,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Separator.Thickness [m],AE_LFP,Separator,Thickness [m],2e-05,m,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Separator.Porosity,AE_LFP,Separator,Porosity,0.47,,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Separator.Transport efficiency,AE_LFP,Separator,Transport efficiency,0.3222,,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Cell.Ambient temperature [K],AE_NMC,Cell,Ambient temperature [K],298.15,K,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Initial temperature [K],AE_NMC,Cell,Initial temperature [K],298.15,K,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Reference temperature [K],AE_NMC,Cell,Reference temperature [K],298.15,K,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Lower voltage cut-off [V],AE_NMC,Cell,Lower voltage cut-off [V],2.7,V,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Upper voltage cut-off [V],AE_NMC,Cell,Upper voltage cut-off [V],4.2,V,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Nominal cell capacity [A.h],AE_NMC,Cell,Nominal cell capacity [A.h],12.5,A.h,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Specific heat capacity [J.K-1.kg-1],AE_NMC,Cell,Specific heat capacity [J.K-1.kg-1],913,J.K-1.kg-1,estimated,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source header says other thermal properties are estimated.
AE_NMC.Cell.Thermal conductivity [W.m-1.K-1],AE_NMC,Cell,Thermal conductivity [W.m-1.K-1],2.04,W.m-1.K-1,estimated,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source header says other thermal properties are estimated.
AE_NMC.Cell.Density [kg.m-3],AE_NMC,Cell,Density [kg.m-3],1847,kg.m-3,estimated,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source header says other thermal properties are estimated.
AE_NMC.Cell.Electrode area [m2],AE_NMC,Cell,Electrode area [m2],0.016808,m2,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Number of electrode pairs connected in parallel to make a cell,AE_NMC,Cell,Number of electrode pairs connected in parallel to make a cell,34,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.External surface area [m2],AE_NMC,Cell,External surface area [m2],0.0379,m2,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Cell.Volume [m3],AE_NMC,Cell,Volume [m3],0.000128,m3,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Electrolyte.Initial concentration [mol.m-3],AE_NMC,Electrolyte,Initial concentration [mol.m-3],1000,mol.m-3,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Electrolyte.Cation transference number,AE_NMC,Electrolyte,Cation transference number,0.2594,,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Electrolyte.Conductivity [S.m-1],AE_NMC,Electrolyte,Conductivity [S.m-1],0.1297 * (x / 1000) ** 3 - 2.51 * (x / 1000) ** 1.5 + 3.329 * (x / 1000),S.m-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Electrolyte.Diffusivity [m2.s-1],AE_NMC,Electrolyte,Diffusivity [m2.s-1],8.794e-11 * (x / 1000) ** 2 - 3.972e-10 * (x / 1000) + 4.862e-10,m2.s-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Electrolyte.Conductivity activation energy [J.mol-1],AE_NMC,Electrolyte,Conductivity activation energy [J.mol-1],17100,J.mol-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Electrolyte.Diffusivity activation energy [J.mol-1],AE_NMC,Electrolyte,Diffusivity activation energy [J.mol-1],17100,J.mol-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Negative electrode.Particle radius [m],AE_NMC,Negative electrode,Particle radius [m],4.12e-06,m,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Thickness [m],AE_NMC,Negative electrode,Thickness [m],5.62e-05,m,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Diffusivity [m2.s-1],AE_NMC,Negative electrode,Diffusivity [m2.s-1],2.728e-14,m2.s-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.OCP [V],AE_NMC,Negative electrode,OCP [V],9.47057878e-01 * exp(-1.59418743e+02  * x) - 3.50928033e+04 + 1.64230269e-01 * tanh(-4.55509094e+01 * (x - 3.24116012e-02 )) + 3.69968491e-02 * tanh(-1.96718868e+01 * (x - 1.68334476e-01)) + 1.91517003e+04 * tanh(3.19648312e+00 * (x - 1.85139824e+00)) + 5.42448511e+04 * tanh(-3.19009848e+00 * (x - 2.01660395e+00)),V,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,"{""stoichiometry_min"": 0.005504, ""stoichiometry_max"": 0.75668, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Entropic change coefficient [V.K-1],AE_NMC,Negative electrode,Entropic change coefficient [V.K-1],(-0.1112 * x + 0.02914 + 0.3561 * exp(-((x - 0.08309) ** 2) / 0.004616)) / 1000,V.K-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,"{""stoichiometry_min"": 0.005504, ""stoichiometry_max"": 0.75668, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Entropy data borrowed from cited studies; chemistry/sample match must be checked.
AE_NMC.Negative electrode.Conductivity [S.m-1],AE_NMC,Negative electrode,Conductivity [S.m-1],0.222,S.m-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Surface area per unit volume [m-1],AE_NMC,Negative electrode,Surface area per unit volume [m-1],499522,m-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Porosity,AE_NMC,Negative electrode,Porosity,0.253991,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Transport efficiency,AE_NMC,Negative electrode,Transport efficiency,0.128,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Reaction rate constant [mol.m-2.s-1],AE_NMC,Negative electrode,Reaction rate constant [mol.m-2.s-1],5.199e-06,mol.m-2.s-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy. BPX molar-rate convention: do not substitute into a dimensional exchange-current law without conversion.
AE_NMC.Negative electrode.Minimum stoichiometry,AE_NMC,Negative electrode,Minimum stoichiometry,0.005504,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Maximum stoichiometry,AE_NMC,Negative electrode,Maximum stoichiometry,0.75668,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Maximum concentration [mol.m-3],AE_NMC,Negative electrode,Maximum concentration [mol.m-3],29730,mol.m-3,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Diffusivity activation energy [J.mol-1],AE_NMC,Negative electrode,Diffusivity activation energy [J.mol-1],30000,J.mol-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Negative electrode.Reaction rate constant activation energy [J.mol-1],AE_NMC,Negative electrode,Reaction rate constant activation energy [J.mol-1],55000,J.mol-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Particle radius [m],AE_NMC,Positive electrode,Particle radius [m],4.6e-06,m,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Thickness [m],AE_NMC,Positive electrode,Thickness [m],5.23e-05,m,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Diffusivity [m2.s-1],AE_NMC,Positive electrode,Diffusivity [m2.s-1],3.2e-14,m2.s-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.OCP [V],AE_NMC,Positive electrode,OCP [V],-3.04420906 * x + 10.04892207 - 0.65637536 * tanh(-4.02134095 * (x - 0.80063948)) + 4.24678547 * tanh(12.17805062 * (x - 7.57659337)) - 0.3757068 * tanh(59.33067782 * (x - 0.99784492)),V,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,"{""stoichiometry_min"": 0.42424, ""stoichiometry_max"": 0.9621, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
